tree_id,longitude,latitude,common,scientific,link,health,notes,memorial
777,-76.488943,42.476239,Sitka Spruce,Picea sitchensis,https://en.wikipedia.org/wiki/Picea_sitchensis,5,,
778,-76.488949,42.476266,Japanese Red Maple,Acer palmatum,https://en.wikipedia.org/wiki/Acer_palmatum,5,,
779,-76.488930,42.476283,European Beech,Fagus sylvatica,https://en.wikipedia.org/wiki/Fagus_sylvatica,5,Variegated,
780,-76.488869,42.476256,White Spruce,Picea glauca,https://en.wikipedia.org/wiki/Picea_glauca,5,,
781,-76.488848,42.476259,White Spruce,Picea glauca,https://en.wikipedia.org/wiki/Picea_glauca,5,,
782,-76.488861,42.476268,Blue Spruce,Picea pungens,https://en.wikipedia.org/wiki/Blue_spruce,5,,
783,-76.488876,42.476297,Crabapple,Malus,https://en.wikipedia.org/wiki/Malus,5,Siberian,
784,-76.488904,42.476358,Crabapple,Malus,https://en.wikipedia.org/wiki/Malus,5,Siberian,
785,-76.488924,42.476443,Hawthorn,Crataegus,https://en.wikipedia.org/wiki/Crataegus,5,Cockspur,
786,-76.488941,42.476477,Apple,Malus,https://en.wikipedia.org/wiki/Apple,5,,
787,-76.488937,42.476577,Crabapple,Malus,https://en.wikipedia.org/wiki/Malus,4,Siberian,
788,-76.488978,42.476642,Crabapple,Malus,https://en.wikipedia.org/wiki/Malus,4,Siberian,
789,-76.489011,42.476763,Crabapple,Malus,https://en.wikipedia.org/wiki/Malus,5,Siberian,
790,-76.489111,42.476850,Silver Maple,Acer saccharinum,https://en.wikipedia.org/wiki/Acer_saccharinum,5,,
791,-76.489146,42.476791,Norway Spruce,Picea abies,https://en.wikipedia.org/wiki/Picea_abies,5,,
792,-76.489174,42.476808,Willow,Salix,https://en.wikipedia.org/wiki/Willow,5,Dappled,
793,-76.489206,42.476818,Bradford Pear,Pyrus calleryana,https://en.wikipedia.org/wiki/Pyrus_calleryana,5,,
794,-76.489283,42.476736,Blue Spruce,Picea pungens,https://en.wikipedia.org/wiki/Blue_spruce,4,,
795,-76.489321,42.476700,Blue Spruce,Picea pungens,https://en.wikipedia.org/wiki/Blue_spruce,4,,
796,-76.489355,42.476650,Norway Spruce,Picea abies,https://en.wikipedia.org/wiki/Picea_abies,4,,
797,-76.489234,42.476632,Eastern White Pine,Pinus strobus,https://en.wikipedia.org/wiki/Pinus_strobus,4,,
798,-76.489192,42.476585,Japanese Cherry,Prunus serrulata,https://en.wikipedia.org/wiki/Prunus_serrulata,4,,
799,-76.489183,42.476552,Gray Birch,Betula populifolia,https://en.wikipedia.org/wiki/Betula_populifolia,5,,
800,-76.489341,42.476535,American Sycamore,Platanus occidentalis,https://en.wikipedia.org/wiki/Platanus_occidentalis,3,Anthracnose,
801,-76.489369,42.476435,American Sycamore,Platanus occidentalis,https://en.wikipedia.org/wiki/Platanus_occidentalis,3,Anthracnose,
802,-76.489521,42.476361,Red Spruce,Picea rubens,https://en.wikipedia.org/wiki/Picea_rubens,2,Topped,
